Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_per_Unit,Total_Amount
1,2024-01-05,C101,Male,25,Electronics,2,500,1000
2,2024-01-08,C102,Female,30,Clothing,3,50,150
3,2024-01-10,C103,Male,45,Grocery,5,20,100
4,2024-01-12,C104,Female,28,Beauty,4,35,140
5,2024-01-15,C105,Male,35,Electronics,1,700,700
6,2024-02-01,C106,Female,40,Clothing,2,60,120
7,2024-02-04,C107,Male,29,Grocery,8,18,144
8,2024-02-08,C108,Female,32,Beauty,3,40,120
9,2024-02-12,C109,Male,38,Electronics,2,550,1100
10,2024-02-15,C110,Female,27,Clothing,5,45,225
11,2024-03-02,C111,Male,42,Grocery,10,15,150
12,2024-03-05,C112,Female,31,Beauty,2,50,100
13,2024-03-08,C113,Male,24,Electronics,1,900,900
14,2024-03-12,C114,Female,36,Clothing,4,55,220
15,2024-03-15,C115,Male,50,Grocery,7,25,175
16,2024-04-01,C116,Female,29,Beauty,5,45,225
17,2024-04-05,C117,Male,33,Electronics,3,650,1950
18,2024-04-08,C118,Female,41,Clothing,2,70,140
19,2024-04-10,C119,Male,26,Grocery,9,22,198
20,2024-04-15,C120,Female,34,Beauty,4,38,152
